title,description,category,organization,recurrence,start_date,end_date,region,zip_code,owner
Community Health Promotion and Awareness Intern,"Intern will have the opportunity to gain experience in many aspects of health education such as: outreach activities, developing culturally specific program materials, and hands on program implementation.",Health,The Leukemia & Lymphoma Society,onetime,August 3 2022,August 3 2023,MANHATTAN,12078,testadmin
"Housing Works, Inc. Needs Corporate Group Volunteers","Housing Works, Inc. is looking to partner with corporate volunteer groups to volunteer at our Processing and Donations Center in Long Island City Queens. We can accommodate large groups and welcome help Mondays through Saturdays.",Strengthening Communities,"Housing Works, Inc.",ongoing,March 3 2022,March 2 2023,MANHATTAN,12075,testadmin
Social Networker,Conservation nonprofit seeks virtual volunteers to assist in building its social networks and online presence through web 2.0 options.,Strengthening Communities,"Going Coastal, Inc.",ongoing,April 8 2022,April 7 2023,BROOKLYN,13514,testadmin
World Science Festival needs immediate office assistance,"The World Science Festival, one of the largest and most prestigious gathering of scientists and science enthusiasts, is currently seeking volunteers to assist with administrative office work.",Strengthening Communities,2011 World Science Festival,ongoing,April 13 2022,June 10 2022,MANHATTAN,10097,testadmin
Be A Learning Leader: Chaperones needed for Brooklyn Museum Visits!,"Learning Leaders, the nation’s oldest and largest school volunteer and parent engagement, is currently seeking volunteers to serve as tour guides at the Brooklyn Museum with our ArtWorks program.",Strengthening Communities,Learning Leaders,ongoing,September 18 2022,June 30 2023,BROOKLYN,13509,testadmin
Activity Assistant,Provides instruction to camp participants for indicated activity or subject. Teaches the associated knowledge and skills and assists campers in achieving activity or lesson goals.,Strengthening Communities,No Doubt Inc.,ongoing,March 7 2022,August 31 2022,QUEENS,14507,testadmin
It's My Park Day: Western John Muir Volunteer,Help with a forest restoratio project along the John Muir Trail of Van Cortlandt Park,Strengthening Communities,Friends of Van Cortlandt Park,onetime,October 15 2022,October 15 2022,BRONX,11272,testadmin
GrowNYC Volunteer,"Receive, sort, and display donated Halloween costumes!",Strengthening Communities,Office of Recycling Outreach and Education,onetime,October 22 2022,October 22 2022,MANHATTAN,11728,testadmin
Volunteer program aide/escort,Assist staff in providing program and transportation to clients in a fun and challenging environment.,Helping Neighbors in Need,Park Slope Geriatric Day Center,ongoing,April 20 2022,April 19 2023,BROOKLYN,17617,testadmin
Administrative Volunteer,We are looking for an excited and organized individual to help us in our day to day activities. Join a dynamic team to help prevent suicide.,Helping Neighbors in Need,National Suicide Prevention Lifeline,ongoing,May 31 2022,December 30 2022,MANHATTAN,11725,testadmin
Intern for Brooklyn Unlimited workshop,"BCS is seeking a motivated and outgoing individual with a strong interest in working with adults with disabilities in our BKLYN UNLTD workshop, our sub-assembly packing, shipping and labeling company.",Strengthening Communities,Brooklyn Community Services,ongoing,April 27 2022,April 26 2023,BROOKLYN,17619,testadmin
2011 Concern Spring Run in Central Park!,"Concern’s annual Spring Run needs volunteers! Looking for groups & individuals! Concern Worldwide US, an international humanitarian agency committed to fighting extreme poverty around the world, needs over 100 volunteers to help spread the word and join us for a great day out in Central Park!",Strengthening Communities,Concern Worldwide US,ongoing,February 4 2022,April 9 2022,MANHATTAN,12079,testadmin
Coordinator,Our Annual Back to School Kickoff,Strengthening Communities,Project Mentor Development Council Inc.,onetime,September 10 2022,September 10 2022,BROOKLYN,13516,testadmin
Volunteer filmmakers to help Mayor's Office with YouCanToo! initiative,"Attention all filmmakers, producers, and editors: The Mayor’s Office of Adult Education and the New York City Council need your help! We are looking for volunteers to provide technical assistance, on-set filming, and/or post-production editing for our new initiative, YouCanToo!",Strengthening Communities,Mayor's Office of Adult Education,ongoing,July 7 2022,October 6 2023,MANHATTAN,13096,testadmin
Career Conference 2011- CALL FOR PROFESSIONALS!,We are seeking Professionals in a variety of industries to participate in roundtable discussions with students! We are also seeking Professionals who are interested in conducting a workshop for our scholars on Networking.   Networking: People skills to get you where you want to go!,Education,The Harlem Educational Activities Fund,onetime,March 26 2022,March 26 2022,MANHATTAN,12424,testadmin
Free CPR Training in Brooklyn!,Learn CPR. Save a life. Use your BLANK for good.,Emergency Preparedness,NYC Service,onetime,March 24 2022,March 24 2022,BROOKLYN,13827,testadmin
Help the Catskills Relief Effort,Help our neighbors up north by staffing canned food drives at one of our Brooklyn farmer's markets.,Helping Neighbors in Need,NYC Service,ongoing,September 24 2022,October 8 2023,MANHATTAN,11728,testadmin
Computer Skills Tutor,KFT is seeking Computer Skills Tutors to instruct fifteen 3rd to 6th grade students at P.S. 59 in basic and relevant computer skills.  The Computer Skills Tutor will be part of a team of tutors who will work together to present classroom computer lessons and work in small groups with the students.,Education,Kids For Tomorrow,ongoing,September 4 2022,December 19 2022,MANHATTAN,12073,testadmin
Coffee & Conversation Volunteer Opportunity,Help immigrants and new Americans practice their English through some Coffee & Conversation!,Helping Neighbors in Need,The Dialogue Project,ongoing,June 9 2022,July 6 2022,BROOKLYN,17617,testadmin
"Volunteer Tutors, College Mentors, and Reading Partners!!","East Harlem Tutorial Program is looking for volunteer tutors, reading partners for elementary school kids, and college mentors for our graduating seniors!!",Education,East Harlem Tutorial Program,ongoing,October 1 2022,June 15 2023,MANHATTAN,12426,testadmin
Mural Artist Wanted,Experienced mural artist needed to create a special mural for pre-schoolers,Strengthening Communities,Episcopal Social Services NYC,ongoing,August 2 2022,September 1 2022,MANHATTAN,11722,testadmin
Market Research for Professionals,"Market research can help an organization determine the most effective programs to maintain and pursue once it has developed its strategic vision, mission, and aspirations. Market research can consist of interviews with key stakeholders and surveys as well as literature reviews of existing research.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Administrative Intern,NYLAG is currently looking for administrative interns to work with the executive assistant to the president of organization on special projects.,Helping Neighbors in Need,New York Legal Assistance Group,ongoing,August 16 2022,November 15 2023,MANHATTAN,11726,testadmin
"Nepali, Bangla and Punjabi translators needed!",Do you speak a South Asian language?  Are you interested in empowering NYC immigrants through community outreach and education?,Helping Neighbors in Need,Chhaya Community Development Corporation,ongoing,June 2 2022,December 31 2023,QUEENS,14783,testadmin
Museum Visitor Services Volunteer,The Museum Visitor Services volunteer greets visitors to the museum and provides assistance as needed.,Strengthening Communities,The Jewish Museum,ongoing,January 27 2022,January 27 2023,MANHATTAN,10099,testadmin
Donate School Supplies to Kids in the Bronx,Help kids from low-income families start the school year on a positive note!,Helping Neighbors in Need,Part of the Solution (POTS),ongoing,June 9 2022,September 15 2022,BRONX,10936,testadmin
Cosmetologist and Barber Volunteer Vocational Instructors,"PAL Brownsville Beacon Center (BBC) seeks dedicated Cosmetology and Barber Volunteer Instructors to educate participants in different areas and forms of hair care and beauty. Instructor must be able to instruct, explain, and demonstrate techniques and methods high school aged students.",Education,Police Athletic League Of New York,ongoing,October 1 2022,February 28 2023,BROOKLYN,17614,testadmin
Staten Island: Yoga Instructor for Shape Up New York!,NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Greenbelt Recreation Center in Staten Island.,Health,New York City Department of Parks & Recreation,ongoing,September 15 2022,September 14 2023,MANHATTAN,12426,testadmin
Administrative Assistant,"Administrative Assistant need to help with Filing, answering the phones and greeting clients.",Strengthening Communities,Episcopal Social Services NYC,ongoing,September 6 2022,August 1 2023,MANHATTAN,11722,testadmin
Join the 2011/2012 Penny Harvest Leader Pin Volunteer Day!,"Be a part of the 2011/2012 Penny Harvest!   Join us and hundreds of amazing volunteers to make Penny Harvest Leader Pin. The pins -- made out of pennies -- will be given to 30,000 Penny Harvest Leaders across the country and will inspire the 2011/2012 Penny Harvest campaign.",Education,Common Cents New York,onetime,August 6 2022,August 6 2022,MANHATTAN,12421,testadmin
Museum Membership Department Volunteer,This position involves membership recruitment and and encouraging greater membership support for the Museum.,Strengthening Communities,The Jewish Museum,ongoing,January 27 2022,January 27 2023,MANHATTAN,10099,testadmin
Bowling Fun at Harlem Lanes,Please join us for a bowling event with the PAL kids! The group consists of children ranging from 9-13 years. We will have 2 hours of some 'healthy competition' and then grab some pizza afterwards. It's will be a fun day for all! For volunteers who wish to participate in bowling the cost is $13.50.,Strengthening Communities,Street Project,onetime,January 29 2022,January 29 2022,MANHATTAN,12423,testadmin
Walkathon Feasibility Analyst,":  Big Apple Greeter is looking for an experienced volunteer to perform a feasibility study to determine whether a walkathon is right for us.  This person will work under the guidance of the Executive Director, the Development Director, and the Director of Volunteers and Programs.",Strengthening Communities,Big Apple Greeter,ongoing,February 3 2022,February 3 2023,MANHATTAN,11728,testadmin
Fashion Workshop Volunteer,Girls Inc. seeks a volunteer to support a fashion workshop for high school girls at The Urban Assembly Institute of Math and Science for Young Women in Downtown Brooklyn.,Education,Girls Incorporated Of New York City,ongoing,February 7 2022,May 8 2022,BROOKLYN,16865,testadmin
Help Feed Your Community in Midtown East,"Momentum has a hot lunch and pantry program open to all in need that operates on Tuesdays at Lexington Avenue and East 54th Street.  We have no volunteer groups at the lunch program and need volunteers to help with pantry, serving food and site set up.",Helping Neighbors in Need,The Momentum Project,ongoing,September 20 2022,September 19 2023,MANHATTAN,12419,testadmin
2011 Lexington Craft Fair,"Help support the Lexington School and Center for the Deaf in running our very first craft fair!  We've advertised everywhere and are hoping for a huge turnout.  Help out with set-up, selling raffles, greeting attendees, assisting vendors, and breaking-down.  We'd love to have you help!  ASL welcome!",Strengthening Communities,Lexington School and Center for the Deaf,onetime,May 1 2022,May 1 2022,QUEENS,14781,testadmin
Hike-A-Thon,Show your support for Van Cortlandt Park by participating in a Hike with the Friends of Van Cortlandt Park,Strengthening Communities,Friends of Van Cortlandt Park,onetime,April 30 2022,April 30 2022,BRONX,11272,testadmin
Event Hosting and Campaign Promotion UNICEF Tap Project Volunteer,The U.S. Fund for UNICEF is inviting committed volunteers to promote the campaign in their communities in inspiring ways and to host UNICEF Tap Project fundraising events.,Environment,US Fund for UNICEF,ongoing,April 13 2022,May 15 2022,MANHATTAN,13096,testadmin
Help New Yorkers Affected by the Storm in Brooklyn,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Helping Neighbors in Need,NYC Service,onetime,January 23 2022,January 23 2022,MANHATTAN,11728,testadmin
Public Relations Plan for Professionals,A public relations plan outlines an organization's objectives and creates a road map for conducting external communications. An organization will develop key messages to the public to influence opinions and actions.,Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Early Childhood Education Outreach Volunteer,Volunteer to help NYC's youngest learners!,Strengthening Communities,NYC Service,ongoing,September 16 2022,October 1 2022,MANHATTAN,11728,testadmin
Accounting System Advice for Professionals,"An accounting or bookkeeping system is the foundation for a nonprofit’s success and effectiveness. This project requires that the organization has a minimally functional system, and the accounting professional will help improve or enhance it by offering advice and custom reports.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Copywriting for Professionals,"The art of copywriting involves the strategic articulation of words to powerfully communicate a message to target audiences about an organization or specific topics such as an organization’s mission, programs, services or projects.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Cheerleaders Wanted!,"Cheer on the hundreds of athletes with developmental disabilities who will be participating in the SUS Olympics on May 20th at Riverbank State Park.   Services for the UnderServed (SUS) needs assistance with running the event, including being timers, measuring throws, and awarding medals.",Helping Neighbors in Need,"Services for the UnderServed, Inc.",onetime,May 20 2022,May 20 2022,MANHATTAN,11722,testadmin
Help inform people of recycling practices in Central Park,"Tackle cancer, global warming, and pollution all in one on Sunday, September 18 from 8 am-12 pm at the 21st annual Komen NYC Race for the Cure in Central Park at the Naumberg Bandshell on the 72nd St Transverse.",Strengthening Communities,Office of Recycling Outreach and Education,onetime,September 18 2022,September 18 2022,MANHATTAN,11728,testadmin
Fundraising Plan for Professionals,"A fundraising plan defines an organization’s fundraising goals, outlines prospective funding sources and includes the specific strategy and tactics to achieve the organization’s fundraising goals.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Donor Relations Strategy for Professionals,"Sustaining donors’ engagement with an organization is far more cost-effective than acquiring new donors. A donor relations strategy involves an effective structure for engaging existing donors in the organization’s work by timely and appropriate donor communication, and gift stewardship.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
English Teacher,English teacher needed to teach English as a Second Language.,Helping Neighbors in Need,Greater Chinatown Community Association,ongoing,June 18 2022,June 18 2023,MANHATTAN,12076,testadmin
Money Makes Sense,Financial literacy for adults,Helping Neighbors in Need,FEGS,ongoing,September 19 2022,September 18 2023,MANHATTAN,12076,testadmin
Data Entry Assistant,"Duties include entering donations and pledges into database, creating thank you letters, updating donor information, updating reports, reconciling bank statements, and assisting the event coordinator.",Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Help Clean Up after Hurricane Irene in Brooklyn,Help clean up tree limbs and debris that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,ongoing,August 28 2022,August 30 2022,MANHATTAN,11728,testadmin
B.A.C. Mentors,Are you interested in working with youth to help them develop real life skills that will help better their lives and become excited about school. Then come be a B.A.C. Mentor.  We are looking for volunteers who can teach academic/career skills or life skills to high school students.,Education,Queens Satellite High School for Opportunity,ongoing,March 8 2022,June 2 2023,QUEENS,24340,testadmin
Pride Is Just Around the Corner! Get Involved Now!,"Take part in city wide Pride events, marches and rallies! Volunteers are needed to represent Queens Pride House at events all through the month of June. Sign up for a training today!",Strengthening Communities,Queens Pride House,ongoing,May 1 2022,June 30 2022,QUEENS,14783,testadmin
NYC Hemophilia Walk 2011,A walk in Riverside Park on Sun. June 5th to raise funds for the NYCHC  and the National Hemophilia Foundation. The New York City Hemophilia Walk was the first and is still the largest of the Hemophilia Walks held by NHF across the country. Together these walks represent NHF’s largest events.,Strengthening Communities,New York City Hemophilia Chapter,onetime,June 5 2022,June 5 2022,MANHATTAN,12078,testadmin
Volunteer for Consumer Protection Law Project,"The New York Legal Assistance (NYLAG), a non-profit law firm based in New York City, is recruiting volunteers for its Consumer Protection Law Project.",Helping Neighbors in Need,New York Legal Assistance Group,ongoing,August 16 2022,October 15 2023,MANHATTAN,11726,testadmin
Development and Welcome Desk Volunteer,NYAWC is seeking a volunteer to assist our busy development department and staff our administrative office’s welcome desk.,Strengthening Communities,New York Asian Women's Center,ongoing,September 6 2022,March 6 2023,MANHATTAN,11725,testadmin
Administrative Intern,BCA is searching for an intern for its administrative office in New York City. Please see the full description for further details.,Strengthening Communities,BCA,ongoing,August 15 2022,February 8 2023,MANHATTAN,12078,testadmin
Liver Life Walk 2011,"Date: Sunday,  June 5, 2011: Manhattan – Battery Park",Strengthening Communities,American Liver Foundation,onetime,June 5 2022,June 5 2022,MANHATTAN,11727,testadmin
One-Pager for Professionals,"A one-pager communicates concise overview information about an organization, its mission, and/or the programs it runs. This brief document provides key messaging about an organization, its specific initiatives, and its strategic direction to target audiences, stakeholders, or the media",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Teach Adults and Kids how to Ride Bikes!,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Health,Bike New York,ongoing,July 19 2022,October 15 2022,MANHATTAN,12421,testadmin
Mentor First-Generation College Students,"Work one-on-one with a First-Generation College Student to develop a life plan and provide general career guidance.  Support, guide and advise students throughout their Fellowship.",Education,New York Needs You,ongoing,June 1 2022,June 18 2023,MANHATTAN,12076,testadmin
Lifebeat Intern - General,"Lifebeat, a non-profit dedicated to HIV/AIDS prevention through music seeks TWO (2) dedicated interns with lots of energy to assist us this winter 2011 through summer 2011.",Strengthening Communities,Lifebeat Inc,ongoing,February 14 2022,August 31 2023,MANHATTAN,13094,testadmin
Assistant to Founder and Executive Director,This is a good opportunity for someone who either has non-profit experience or who would like to learn the workings of a non-profit organization up close.,Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Girl Scout Series - Brooklyn,"We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Strengthening Communities,Girl Scouts NYC,ongoing,September 19 2022,December 12 2022,BROOKLYN,17212,testadmin
Do you want to make a Difference?   Volunteer at ClassWish.org!,Recruiting outstanding volunteers to collaborate on the boldest nonprofit initiative we know. We are looking for passionate volunteers with exceptional skills to take initiative on different projects. This is an outstanding leadership opportunity in an innovative start-up nonprofit organization,Education,ClassWish,ongoing,June 1 2022,August 26 2023,MANHATTAN,11722,testadmin
American Diabetes Association - FERIA DE SALUD!,"The American Diabetes Association's largest Latino event of the year – Feria de Salud, scheduled to take place on Saturday, August 27, 2011.",Health,American Diabetes Association - FERIA,onetime,August 27 2022,August 27 2022,MANHATTAN,11722,testadmin
Memorial Sloan-Kettering Cancer Center,Help Cancer Patients with their treatement needs by donating blood or platelets.,Emergency Preparedness,Memorial Sloan-Kettering Cancer Center,ongoing,August 30 2022,August 29 2023,MANHATTAN,10090,testadmin
General Call for Governor's Island Volunteers,"Governor’s Island needs volunteers for programs for  its on-Island partners,such as serving as an Island Ambassador, staffing large public events, maintaining flower beds in the Historic District, or working with children at the Island's Harbor Discovery Area. Sign up at: Bit.ly/GIAVolunteer !",Strengthening Communities,Governors Island Alliance,ongoing,May 27 2022,September 25 2022,MANHATTAN,11724,testadmin
Event Planning for Professionals,"Event planning helps an organization coordinate all the moving pieces of a major event, including venue & logistics, invitation, evening program & entertainment, caterers, sponsors, ticketing, and gift bags/auctions/raffles.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Teach Adults and Kids how to Ride Bikes!,"Become a volunteer with Bike New York, a non-profit Bicycling organization, and give someone the life changing skill of knowing how to ride a bike!",Education,Bike New York,ongoing,June 16 2022,June 15 2023,MANHATTAN,12421,testadmin
Fall Forest Restoration Volunteer Kickoff,Join us as we start our fall volunteer season with events in three areas of Van Cortlandt Park,Strengthening Communities,Friends of Van Cortlandt Park,onetime,September 24 2022,September 24 2022,BRONX,11272,testadmin
"Our Time's 9th Annual Benefit Gala - April 11, 2011","Monday, April 11, 2011: Our Time seeks volunteers to help with preparations for and coordination of its 9th Annual Benefit Gala, which will be honoring David Seidler, writer of The King's Speech.",Strengthening Communities,Our Time,onetime,April 11 2022,April 11 2022,MANHATTAN,12075,testadmin
"""Farm to Feast"" Gala at Battery Park","Volunteers needed for event setup, greeting guests, and run of show for the Battery Gala on June 7th. Dinner will be provided.",Strengthening Communities,The Battery Conservancy,onetime,June 7 2022,June 7 2022,MANHATTAN,10700,testadmin
Search Engine Optimization for Professionals,"A Search Engine Optimization (SEO) plan helps an organization's website to rank better organically across various search engines, including Google, Yahoo and Bing. Organic ranking is determined by a variety of factors that include both on the page and off the page elements.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Staff Development Trainer,The Jewish Museum seeks a volunteer staff development trainer.,Strengthening Communities,The Jewish Museum,ongoing,January 27 2022,January 27 2023,MANHATTAN,10099,testadmin
Bronx: Zumba Instructor for Shape Up NYC at St. Mary's Recreation Center,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at St. Mary’s Recreation Center (St. Ann’s Avenue at East 145th street, Bronx, NY 10455)",Health,New York City Department of Parks & Recreation,ongoing,June 1 2022,June 30 2023,BRONX,10933,testadmin
Resume Review Workshop Volunteer,Want a meaningful volunteer experience? Come and work one on one with Met Council clients to update their resumes.,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty,ongoing,May 18 2022,May 18 2023,MANHATTAN,13096,testadmin
Legal Advisor,Provide legal services and advice to the agency and ensure our compliance to all applicable NYS non-profit laws and provisions in our day to day functioning.,Strengthening Communities,Family and Community Support Services,ongoing,August 11 2022,August 10 2023,BROOKLYN,17615,testadmin
Grant Proposal Budget for Professionals,"A well-designed proposal budget accompanies an organization’s grant proposal or major ask and may be required by a funder. It amplifies the proposal by providing a well thought-out, specific, and tangible plan for the use of funds.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Become a Skilled Volunteer with Habitat-NYC,"Build with Habitat-NYC. Come Pound, Haul, Hammer or Paint at the Habitat-NYC construction site in Brooklyn.",Strengthening Communities,Habitat-NYC,ongoing,June 15 2022,July 31 2023,MANHATTAN,13096,testadmin
Summer day camp volunteer,"Starting July 2011. Activities vary week by week, but volunteers will generally assist students in activities including an education enrichment period, singing, computer time, arts and crafts and more. There will also be an all-day trip once a week, on Wednesdays or Fridays.",Strengthening Communities,WisdomLand After School and Summer Day Camp,ongoing,July 5 2022,August 1 2022,QUEENS,13832,testadmin
Board Member Search Strategy for Professionals,A board member search strategy helps an organization build a strong board of directors that is committed to furthering the organization's mission.,Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
John Kieran Volunteer Day,Join us as we restore the beautiful John Kieran Nature Trail and the forest.,Strengthening Communities,Friends of Van Cortlandt Park,onetime,June 11 2022,June 11 2022,BRONX,11272,testadmin
8th Annual Children's Sports & Fitness Expo,"A one day free event in June for children featuring over 25 sports activities, nutrition clinics, health screening, entertainment, and vendors. Volunteers will be integral to this event running effectively and providing a place where children can be introduce to new sports and health education.",Health,"Body Sculpt Of New York, Inc.",onetime,June 11 2022,June 11 2022,BROOKLYN,16866,testadmin
Seeds in the Middle - Volunteer Girls Soccer Coach,Help elementary and middle school aged girls become stronger and healthier by volunteering your time as a soccer coach in an under-resourced Brooklyn community.,Health,Up2Us,ongoing,March 26 2022,June 18 2022,BROOKLYN,17615,testadmin
Find the Perfect Volunteer Job for You!,"VRC is a liaison between volunteers and the non-profit agencies that depend on volunteer support. We will help match your interests, skills, and schedule availability with a non-profit that needs your help.",Strengthening Communities,Volunteer Referral Center,ongoing,May 18 2022,May 17 2023,MANHATTAN,12078,testadmin
Foster Care Recruiter,"Tracking with Excel, followup with foster parent, prescreen for foster care, mailing",Helping Neighbors in Need,Episcopal Social Services NYC,ongoing,September 9 2022,September 8 2023,MANHATTAN,11722,testadmin
Halloween Carnival Committee,Take on leadership and organizational role in set up and execution of halloween carnival in park slope,Strengthening Communities,"The Puppetry Arts Theatre, Inc",ongoing,October 16 2022,October 29 2023,BROOKLYN,17617,testadmin
Soup Kitchen Cook,"Coney Island Community Kitchen, all-volunteer Coney Island nonprofit, providing meals for low-income/under poverty line community members, seeks a part-time Soup Kitchen volunteer cook to prepare meals on Fridays. Must be certified, enjoy cooking and giving back to community.",Helping Neighbors in Need,Coney Island Lighthouse Mission,ongoing,August 4 2022,August 3 2023,BROOKLYN,18184,testadmin
High School Goal Weekend,"High School Goal Weekend!  Saturday, September 24 and Sunday, September 25 9:00am - 3:00pm ~ Brooklyn Tech High School  This event provides 8th and 7th grade students in foster care additional support with the high school planning and application process.",Education,New York City Children's Services,ongoing,September 24 2022,September 25 2022,BROOKLYN,17619,testadmin
Dear Trevor Authors,"""Dear Trevor"" is an online, non-time sensitive question and answer resource for young people with questions surrounding sexual orientation and gender identity.",Helping Neighbors in Need,The Trevor Project,ongoing,May 18 2022,May 17 2023,MANHATTAN,13096,testadmin
Leadership and Community Activism Mentor,We are looking for volunteer Leadership and Community Activism Mentors for the Launch It! Summer Workshop program.,Helping Neighbors in Need,entrepreneurshipEDGE,ongoing,August 9 2022,August 26 2022,MANHATTAN,12080,testadmin
Online Marketing Plan for Professionals,"Online marketing may include social media marketing, search engine optimization, display advertising on partner sites, brand integration, email blasts, search engine marketing or message board communication.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Eastern John Muir Volunteer Day,Restore the forest through invasive removal and tree planting as well as maintenance work along the trail itself,Strengthening Communities,Friends of Van Cortlandt Park,onetime,May 7 2022,May 7 2022,BRONX,11272,testadmin
General Support Volunteer,Ubuntu Education Fund seeks a volunteer to assist with all communications and fundraising activities in the New York City office,Strengthening Communities,Ubuntu Education Fund,ongoing,September 15 2022,December 30 2023,MANHATTAN,11725,testadmin
Health Services Office Assistant,Filing and other office duties,Health,Episcopal Social Services NYC,ongoing,July 12 2022,July 11 2023,MANHATTAN,11722,testadmin
Park Volunteer,"Volunteer Day, March 26th 2011, from 9am to 12pm",Strengthening Communities,Stuyvesant Cove Park,onetime,March 26 2022,March 26 2022,MANHATTAN,12073,testadmin
Press Kit for Professionals,"A press (or media) kit is a collection of compelling communications materials that provide important information about an organization, its mission, recent news, and accomplishments. A press kit can be easily distributed to members of the media or to other interested parties.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Be a Mentor.... Because Every Child Deserves a Chance!,Learn how you can directly make a positive impact on youth in Harlem!,Education,In Arms Reach Inc,ongoing,April 27 2022,December 31 2023,MANHATTAN,12428,testadmin
Volunteer with Storytelling in the Park-Queens,"Volunteer at Broad Channel Park in Queens.  Storytelling will take place on Friday mornings in July.  Volunteers will assist with crafts, games, snack distribution and face painting.",Strengthening Communities,New York City Department of Parks & Recreation,ongoing,July 1 2022,July 29 2022,QUEENS,24011,testadmin
Patient and Caregiver Support,Share meals with patients and caregivers that have travelled to NYC for medical treatment and are staying at the Miracle House facility.,Helping Neighbors in Need,Miracle House,ongoing,June 29 2022,June 28 2023,MANHATTAN,12074,testadmin
Arts Instructors,PAL Brownsville Beacon Center (BBC) seeks dedicated volunteer artists and educators to lead a family engagement arts-based project connecting parents and teens.,Strengthening Communities,Police Athletic League Of New York,ongoing,October 1 2022,December 31 2022,BROOKLYN,17614,testadmin
Lanch It! Summer Workshop Student/Volunteer,Get leadership & community organizing training and apply learning to launch a project. T.G.I. Friday's meal provided.,Strengthening Communities,entrepreneurshipEDGE,ongoing,August 9 2022,August 26 2022,MANHATTAN,12080,testadmin
Neighborhood Profiles Coordinator,Big Apple Greeter is looking for a volunteer to coordinate the Neighborhood Information Profiles that appear on our website (www.bigapplegreeter.org).,Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Russian translator,Volunteer needed to translate written materials from English into Russian.,Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,July 20 2022,September 1 2022,MANHATTAN,11722,testadmin
Organizational Budget Design and Development for Professionals,"An operating budget provides an organization's leadership with focus to analyze key financial and strategic issues. Budget design and development involves all key stakeholders in the budgeting process, and helps an organization move from reactive to proactive, profitable money management.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Not-for-profit Volunteer opportunities with pioneer Capoeira arts organization (various positions),We are a family of volunteers who are passionate to spread Capoeira experience among the youth and community. We are proud to join the journey with Afro-Brazil-Arts to tell you how to love and be loved by Capoeira,Strengthening Communities,Afro Brazil Arts,ongoing,February 23 2022,February 23 2023,MANHATTAN,11723,testadmin
E-Newsletter Writing for Professionals,"An e-newsletter communicates recent developments, news and events to an organization's stakeholders. Timely and thoughtful e-newsletters provide a cost-effective way for an organization to engage supporters and donors while enhancing the organization's brand.",Strengthening Communities,Catchafire,ongoing,June 4 2022,June 3 2023,MANHATTAN,12076,testadmin
"Lead crafts, games, face painting and popcorn making in Queens!","Volunteers are needed for Bayswater Park's Fall Festival on October 16, 2011.  Duties include crafts, games, face painting and popcorn making. This event will be held in Far Rockaway, Queens.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,October 16 2022,October 16 2022,QUEENS,24014,testadmin
